,21728047
Time,Voltage
167.8046875,42.58422852
168,42.49267578
168.203125,42.54455566
168.40625,42.50488281
168.6015625,42.44689941
168.8046875,42.43774414
169,42.3828125
169.203125,42.3614502
169.40625,42.31872559
169.6015625,42.43164063
169.8046875,42.29736328
170,42.3248291
170.203125,42.34313965
170.40625,42.23937988
170.6015625,42.15087891
170.8046875,42.20581055
171,42.16003418
171.203125,42.15393066
171.40625,42.19055176
171.6015625,42.12646484
171.8046875,42.04101563
172,42.03796387
172.203125,42.1081543
172.40625,42.09289551
172.6015625,41.98913574
172.8046875,41.94641113
173,41.94946289
173.203125,41.97387695
173.40625,41.91589355
173.6015625,41.81213379
173.8046875,41.84875488
174,41.8762207
174.203125,41.88232422
174.40625,41.94641113
174.6015625,41.92504883
174.8046875,41.83044434
175,41.77246094
175.203125,41.7755127
175.40625,41.75109863
175.6015625,41.70837402
175.8046875,41.72363281
176,41.74194336
176.203125,41.64733887
176.40625,41.70532227
176.6015625,41.66564941
176.8046875,41.70837402
177,41.72058105
177.203125,41.64123535
177.40625,41.61987305
177.6015625,41.57104492
177.8046875,41.56494141
178,41.51306152
178.203125,41.44592285
178.40625,41.47338867
178.6015625,41.41540527
178.8046875,41.40319824
179,41.37268066
179.203125,41.31774902
179.40625,41.31469727
179.6015625,41.22009277
179.8046875,41.1895752
180,41.29638672
180.203125,41.22314453
180.40625,41.20788574
180.6015625,41.1895752
180.8046875,41.07055664
181,41.11022949
181.203125,41.07055664
181.40625,40.97290039
181.6015625,40.96069336
181.8046875,40.96984863
182,40.92102051
182.203125,40.93017578
182.40625,40.91491699
182.6015625,40.82336426
182.8046875,40.79589844
183,40.78369141
183.203125,40.79284668
183.40625,40.71960449
183.6015625,40.70129395
183.8046875,40.71655273
184,40.65856934
184.203125,40.69824219
184.40625,40.64331055
184.6015625,40.6036377
184.8046875,40.6036377
185,40.52734375
185.203125,40.49072266
185.40625,40.52734375
185.6015625,40.51818848
185.8046875,40.47851563
186,40.47241211
186.203125,40.39916992
186.40625,40.46020508
186.6015625,40.39611816
186.8046875,40.38391113
187,40.34423828
187.203125,40.28625488
187.40625,40.34118652
187.6015625,40.3503418
187.8046875,40.34423828
188,40.28625488
188.203125,40.27099609
188.40625,40.26794434
188.6015625,40.19165039
188.8046875,40.18554688
189,40.13671875
189.203125,40.20690918
189.40625,40.16723633
189.6015625,40.16418457
189.8046875,40.13366699
190,40.04516602
190.203125,40.05432129
190.40625,40.06958008
190.6015625,40.02075195
190.8046875,39.98718262
191,39.9597168
191.203125,39.97802734
191.40625,39.98413086
191.6015625,39.95361328
191.8046875,39.90478516
192,39.89257813
192.203125,39.78271484
192.40625,39.89257813
192.6015625,39.92004395
192.8046875,39.81933594
193,39.81933594
193.203125,39.73999023
