Time,Score0,Score1,Score2,Score3
,1.609308,0.002503368,0.02294754,0.001430496
,1.728516,0.00327822,0.018656052,-0.005185548
,1.19208,0.002801388,0.017821596,-0.004649112
,-1.072872,-0.001430496,0.023424372,-0.005781588
,1.251684,-0.00029802,0.020742192,-0.001668912
,1.907328,-0.00387426,0.01907328,-0.000715248
,5.483568,0,0.020980608,0.00059604
,6.85446,0.004410696,0.017463972,-0.00238416
,3.993468,0.001370892,0.02324556,-0.007629312
,4.708716,0.001609308,0.022470708,-0.008225352
,5.543172,-0.001907328,0.013947336,-0.00834456
,5.602776,-0.001549704,0.017344764,-0.008463768
,9.179016,-0.001370892,0.018894468,-0.006318024
,10.13268,-0.003099408,0.018119616,0.002741784
,6.020004,-0.001847724,0.018894468,-0.000476832
,5.06634,-0.00029802,0.019013676,-0.002622576
,6.318024,0.00178812,0.016033476,-0.000953664
,6.55644,-0.002264952,0.01847724,-0.000178812
,4.410696,0.001370892,0.019311696,0.001668912
,2.9802,0.00208614,0.018060012,-0.000476832
,4.17228,-0.001013268,0.017463972,-0.009953868
,4.410696,0.001072872,0.018596448,-0.009775056
,5.125944,0.000059604,0.023781996,-0.0014901
,2.503368,-0.001132476,0.022172688,-0.00476832
,-1.311288,0.00536436,0.017642784,-0.00625842
,4.708716,0.002562972,0.019907736,-0.001668912
,3.159012,-0.002562972,0.022768728,-0.001609308
,1.847724,-0.001013268,0.023483976,-0.004589508
,4.76832,0.00029802,0.021338232,-0.007569708
,3.87426,-0.000953664,0.017761992,-0.007569708
,1.311288,0.003695448,0.021576648,-0.003159012
,-0.715248,0.00208614,0.02056338,0.001668912
,1.78812,-0.004589508,0.018417636,0.000178812
,5.9604,-0.003695448,0.019192488,-0.003635844
,6.377628,0.002860992,0.017404368,-0.008582976
,2.026536,0.003457032,0.018894468,-0.007927332
,1.728516,0.001609308,0.02056338,-0.002860992
,1.78812,0.001609308,0.017642784,0.000119208
,3.218616,0.000536436,0.01668912,-0.002622576
,2.68218,0.000774852,0.017344764,-0.002324556
,2.562972,0.001728516,0.0178812,-0.00715248
,1.430496,0.002801388,0.021040212,-0.0044703
,0.476832,0.002026536,0.019907736,-0.006198816
,1.4901,-0.000655644,0.018536844,-0.008106144
,1.370892,-0.001072872,0.01817922,-0.001728516
,4.231884,0.002860992,0.016867932,0.000417228
,3.099408,0.003993468,0.02056338,-0.003099408
,-2.145744,0.004827924,0.020086548,-0.00357624
,0.178812,0.003337824,0.020384568,-0.00178812
,4.17228,-0.000953664,0.018954072,-0.0074505
,1.311288,0.002860992,0.022172688,-0.011563176
,0.774852,0.005245152,0.019609716,-0.006377628
,1.132476,0.005841192,0.021099816,-0.000953664
,4.76832,0.003933864,0.026702592,-0.00387426
,4.17228,0.002264952,0.021517044,-0.007092876
,1.370892,0.000059604,0.022887936,-0.00774852
,6.139212,-0.000238416,0.0223515,-0.008284956
,2.443764,-0.002205348,0.020801796,-0.008404164
,0.059604,-0.001907328,0.01758318,-0.000953664
,5.36436,0.005721984,0.015556644,-0.00089406
,6.139212,0.00238416,0.019848132,0
,3.695448,0.000715248,0.021338232,-0.002860992
,3.218616,0.00029802,0.018358032,-0.00506634
,1.609308,-0.002205348,0.019430904,-0.008404164
,0.715248,0.005423964,0.02354358,-0.005543172
,3.755052,-0.000119208,0.017702388,-0.001072872
,7.986936,-0.000953664,0.016152684,-0.00268218
,6.794856,0.00029802,0.019311696,-0.001430496
,0.536436,-0.000238416,0.02026536,-0.005900796
,-2.801388,0.005602776,0.0238416,-0.002205348
,-3.933864,0.002145744,0.022709124,0.001668912
,-2.741784,0.000357624,0.018298428,-0.003457032
,-1.4901,0.005721984,0.019430904,-0.001251684
,1.370892,0.007629312,0.01698714,-0.005781588
,-0.536436,0.005185548,0.017344764,-0.00804654
,-4.529904,0.006794856,0.01519902,-0.002860992
,-2.562972,0.00357624,0.01549704,-0.006973668
,-0.417228,0.002801388,0.019311696,-0.00804654
,3.57624,0.003218616,0.022828332,-0.00536436
,1.19208,0.00357624,0.02056338,-0.00506634
,0.89406,0.004708716,0.015377832,-0.00566238
,2.026536,0.002264952,0.01430496,-0.00387426
,1.132476,0.001966932,0.017225556,-0.003993468
